Road ID,Length (km),Number of Bends,Traffic Volume (vehicles/hour),Accident Risk (high/medium/low)
R1,5,3,1000,Medium
R2,8,5,2000,High
R3,3,1,500,Low
R4,10,7,3000,High
R5,6,4,1500,Medium
R6,7,2,800,Low
R7,9,6,2500,High
R8,4,2,1200,Medium
R9,12,8,3500,High
R10,5,3,1000,Medium
R11,8,5,2000,High
R12,3,1,500,Low
R13,10,7,3000,High
R14,6,4,1500,Medium
R15,7,2,800,Low
R16,9,6,2500,High
R17,4,2,1200,Medium
R18,12,8,3500,High
R19,5,3,1000,Medium
R20,8,5,2000,High
R21,3,1,500,Low
R22,10,7,3000,High
R23,6,4,1500,Medium
R24,7,2,800,Low
R25,9,6,2500,High
R26,4,2,1200,Medium
R27,12,8,3500,High
R28,5,3,1000,Medium
R29,8,5,2000,High
R30,3,1,500,Low
R31,10,7,3000,High
R32,6,4,1500,Medium
R33,7,2,800,Low
R34,9,6,2500,High
R35,4,2,1200,Medium
R36,12,8,3500,High
R37,5,3,1000,Medium
R38,8,5,2000,High
R39,3,1,500,Low
R40,10,7,3000,High
R41,6,4,1500,Medium
R42,7,2,800,Low
R43,9,6,2500,High
R44,4,2,1200,Medium
R45,12,8,3500,High
R46,5,3,1000,Medium
R47,8,5,2000,High
R48,3,1,500,Low
R49,10,7,3000,High
R50,6,4,1500,Medium
